n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,GMM,12,3.08,51.41,40.27,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,GMM,12,2.52,16.88,10.28,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,GMM,12,2.51,21.68,19.67,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,GMM,12,2.28,10.01,4.84,0.88,0.9
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,VQ,12,3.08,51.41,216.33,0.96,0.96
5,10000,512,10.0,0.02,0.99,0.02,0.0,hanning,GMM,12,0.95,52.7,38.77,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.02,0.02,hamming,VQ,12,2.42,18.29,94.82,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,GMM,12,2.34,12.99,7.66,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,SVM,12,2.64,31.86,76.02,0.85,0.87
6,10000,512,10.0,0.02,0.99,0.04,0.03,hanning,VQ,12,0.36,4.42,29.49,0.97,0.97
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,GMM,12,2.84,29.21,19.9,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,SVM,12,2.51,21.68,44.96,0.81,0.75
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,SVM,12,2.36,12.69,19.41,0.81,0.74
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,VQ,12,3.62,86.59,296.5,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.02,0.01,hamming,SVM,12,3.08,51.41,128.18,0.81,0.74
5,10000,512,10.0,0.012,0.9,0.025,0.01,hamming,SVM,12,2.95,42.08,91.08,0.81,0.74
6,10000,512,10.0,0.02,0.99,0.04,0.03,hanning,GMM,12,0.36,4.42,2.27,0.85,0.89
5,10000,512,10.0,0.012,0.9,0.02,0.0,hamming,GMM,12,4.07,118.17,64.74,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.03,0.01,hamming,VQ,12,2.84,29.21,144.81,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,VQ,12,2.28,10.01,62.78,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.02,0.0,hamming,SVM,12,4.07,118.17,390.03,0.81,0.74
5,10000,512,10.0,0.012,0.9,0.035,0.01,hamming,GMM,12,3.23,50.71,31.65,1.0,1.0
5,10000,512,10.0,0.012,0.9,0.025,0.02,hamming,VQ,12,2.36,12.69,75.33,0.96,0.96
5,10000,512,10.0,0.012,0.9,0.03,0.02,hamming,VQ,12,2.34,12.99,77.24,0.96,0.96
5,10000,512,10.0,0.02,0.99,0.02,0.0,hanning,VQ,12,0.95,52.7,186.27,1.0,1.0
